"Physicians","Frequency"
"Attending","Frequent"
"Attending","Frequent"
"Resident","Frequent"
"Resident","Frequent"
"Resident","Frequent"
"Resident","Frequent"
"Resident","Frequent"
"Resident","Frequent"
"Resident","Frequent"
"Resident","Frequent"
"Resident","Frequent"
"Resident","Frequent"
"Resident","Frequent"
"Resident","Frequent"
"Resident","Frequent"
"Resident","Frequent"
"Resident","Frequent"
"Attending","Occasionally"
"Attending","Occasionally"
"Attending","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Resident","Occasionally"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Attending","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Resident","Rarely"
"Attending","Never"
"Attending","Never"
"Attending","Never"
"Attending","Never"
"Attending","Never"
"Attending","Never"
"Attending","Never"
"Attending","Never"
"Attending","Never"
"Attending","Never"
"Attending","Never"
"Attending","Never"
"Attending","Never"
"Resident","Never"
"Resident","Never"
"Resident","Never"
"Resident","Never"
"Resident","Never"
